block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_id
a_276893,51-52,1,51 Charles,510011,SE2014-hsep1401-Weekday-02_merged_980022,1990967-SE2014-hsep1401-Weekday-02_merged_985405
a_276853,55-52,0,55 Providence,550006,SE2014-hsep1401-Weekday-02_merged_980022,1989871-SE2014-hsep1401-Weekday-02_merged_981470
a_275483,67-52,1,67 BELLEVUE,670007,SE2014-hsem1407-Sunday-01_merged_980016,1986267-SE2014-hsem1407-Sunday-01_merged_981784
b_276923,75-52,1,75 DEXTER ST,750004,SE2014-hsep1401-Weekday-02_merged_980032,1991229-SE2014-hsep1401-Weekday-02_merged_989168
a_275478,67-52,0,67 GATEWAY,670011,SE2014-hsem1406-Saturday-01_merged_980024,1986221-SE2014-hsem1406-Saturday-01_merged_981302
b_275714,66-52,1,66 URI,660011,SE2014-hsep1407-Sunday-01_merged_980030,1987000-SE2014-hsep1407-Sunday-01_merged_990791
b_275715,66-52,1,66 URI,660011,SE2014-hsep1407-Sunday-01_merged_980030,1987004-SE2014-hsep1407-Sunday-01_merged_987035
b_275304,27-52,1,27 MANTON AVE,270013,SE2014-hsep1407-Sunday-01_merged_980030,1985780-SE2014-hsep1407-Sunday-01_merged_991241
a_276851,33-52,0,33 Providence,330003,SE2014-hsep1401-Weekday-02_merged_980022,1989958-SE2014-hsep1401-Weekday-02_merged_981604
b_275478,67-52,1,67 BELLEVUE,670007,SE2014-hsem1406-Saturday-01_merged_980034,1986196-SE2014-hsem1406-Saturday-01_merged_990341
b_275121,3-52,1,3B WARWICK AV,30035,SE2014-hsep1407-Sunday-01_merged_980030,1984244-SE2014-hsep1407-Sunday-01_merged_988242
a_275067,92-52,1,XXXXX,920030,SE2014-hsep1406-Saturday-01_merged_980017,1983174-SE2014-hsep1406-Saturday-01_merged_981086
b_276686,11-52,0,R-LINE NORTH,110003,SE2014-hsep1406-Saturday-01_merged_980027,1983774-SE2014-hsep1406-Saturday-01_merged_989267
a_276947,11-52,0,R-LINE NORTH,110003,SE2014-hsep1401-Weekday-02_merged_980022,1991491-SE2014-hsep1401-Weekday-02_merged_980949
a_276869,76-52,1,76 Central Ave,760002,SE2014-hsep1401-Weekday-02_merged_980022,1990387-SE2014-hsep1401-Weekday-02_merged_981499
b_276941,98-52,0,98 PAWTUCKET,980001,SE2014-hsep1401-Weekday-02_merged_980032,1991351-SE2014-hsep1401-Weekday-02_merged_989797
b_275079,51-52,0,51 PROVIDENCE,510010,SE2014-hsep1406-Saturday-01_merged_980027,1983406-SE2014-hsep1406-Saturday-01_merged_988084
a_275054,30-52,0,30 Providence,300014,SE2014-hsep1406-Saturday-01_merged_980017,1982762-SE2014-hsep1406-Saturday-01_merged_984502
a_276872,31-52,0,31 Providence,310001,SE2014-hsep1401-Weekday-02_merged_980022,1990510-SE2014-hsep1401-Weekday-02_merged_983338
b_276805,27-52,1,27 MANTON AVE,270013,SE2014-hsep1401-Weekday-02_merged_980032,1991773-SE2014-hsep1401-Weekday-02_merged_987137
a_276943,35-52,1,RUMFORD,350002,SE2014-hsep1401-Weekday-02_merged_980022,1991422-SE2014-hsep1401-Weekday-02_merged_980577
a_275088,34-52,1,98 PAWTUCKET,340010,SE2014-hsep1406-Saturday-01_merged_980017,1983633-SE2014-hsep1406-Saturday-01_merged_982741
a_276818,87-52,0,87 Downtown,870013,SE2014-hsep1401-Weekday-02_merged_980022,1989506-SE2014-hsep1401-Weekday-02_merged_981017
b_276964,50-52,1,50 Douglas Av,500014,SE2014-hsep1401-Weekday-02_merged_980032,1991882-SE2014-hsep1401-Weekday-02_merged_988490
a_276805,27-52,1,27 MANTON AVE,270013,SE2014-hsep1401-Weekday-02_merged_980022,1991789-SE2014-hsep1401-Weekday-02_merged_985521
b_275478,67-52,1,67 BELLEVUE,670007,SE2014-hsem1406-Saturday-01_merged_980034,1986204-SE2014-hsem1406-Saturday-01_merged_986566
a_276870,76-52,1,76 Central Ave,760002,SE2014-hsep1401-Weekday-02_merged_980022,1990367-SE2014-hsep1401-Weekday-02_merged_982245
b_276801,28-52,1,28 HARTFORD,280003,SE2014-hsep1401-Weekday-02_merged_980032,1991784-SE2014-hsep1401-Weekday-02_merged_988899
